filename,transcription
03-01-01-01-01-01-01.wav,kids are talking by the door
03-01-01-01-01-01-02.wav,kids are talking by the door
03-01-01-01-01-01-03.wav,kids are talking by the door
03-01-01-01-01-01-04.wav,kids are talking by the door
03-01-01-01-01-01-05.wav,kids are talking by the door
03-01-01-01-01-01-20.wav,kids are talking by the door
03-01-01-01-01-01-21.wav,kids are talking by the door
03-01-01-01-01-01-22.wav,kids are talking by the door
03-01-01-01-01-01-23.wav,kids are talking by the door
03-01-01-01-01-01-24.wav,kids are talking by the door
03-01-01-01-01-02-01.wav,kids are talking by the door
03-01-01-01-01-02-02.wav,kids are talking by the door
03-01-01-01-01-02-03.wav,kids are talking by the door
03-01-01-01-01-02-04.wav,kids are talking by the door
03-01-01-01-01-02-05.wav,kids are talking by the door
03-01-01-01-01-02-20.wav,kids are talking by the door
03-01-01-01-01-02-21.wav,kids are talking by the door
03-01-01-01-01-02-22.wav,kids are talking by the door
03-01-01-01-01-02-23.wav,kids are talking by the door
03-01-01-01-01-02-24.wav,kids are talking by the door
03-01-01-01-02-01-01.wav,dogs are sitting by the door
03-01-01-01-02-01-02.wav,dogs are sitting by the door
03-01-01-01-02-01-03.wav,dogs are sitting by the door
03-01-01-01-02-01-04.wav,dogs are sitting by the door
03-01-01-01-02-01-05.wav,dogs are sitting by the door
03-01-01-01-02-01-20.wav,dogs are sitting by the door
03-01-01-01-02-01-21.wav,dogs are sitting by the door
03-01-01-01-02-01-22.wav,dogs are sitting by the door
03-01-01-01-02-01-23.wav,dogs are sitting by the door
03-01-01-01-02-01-24.wav,dogs are sitting by the door
03-01-01-01-02-02-01.wav,dogs are sitting by the door
03-01-01-01-02-02-02.wav,dogs are sitting by the door
03-01-01-01-02-02-03.wav,dogs are sitting by the door
03-01-01-01-02-02-04.wav,dogs are sitting by the door
03-01-01-01-02-02-05.wav,dogs are sitting by the door
03-01-01-01-02-02-20.wav,dogs are sitting by the door
03-01-01-01-02-02-21.wav,dogs are sitting by the door
03-01-01-01-02-02-22.wav,dogs are sitting by the door
03-01-01-01-02-02-23.wav,dogs are sitting by the door
03-01-01-01-02-02-24.wav,dogs are sitting by the door
03-01-02-01-01-01-01.wav,kids are talking by the door
03-01-02-01-01-01-02.wav,kids are talking by the door
03-01-02-01-01-01-03.wav,kids are talking by the door
03-01-02-01-01-01-04.wav,kids are talking by the door
03-01-02-01-01-01-05.wav,kids are talking by the door
03-01-02-01-01-01-20.wav,kids are talking by the door
03-01-02-01-01-01-21.wav,kids are talking by the door
03-01-02-01-01-01-22.wav,kids are talking by the door
03-01-02-01-01-01-23.wav,kids are talking by the door
03-01-02-01-01-01-24.wav,kids are talking by the door
03-01-02-01-01-02-01.wav,kids are talking by the door
03-01-02-01-01-02-02.wav,kids are talking by the door
03-01-02-01-01-02-03.wav,kids are talking by the door
03-01-02-01-01-02-04.wav,kids are talking by the door
03-01-02-01-01-02-05.wav,kids are talking by the door
03-01-02-01-01-02-20.wav,kids are talking by the door
03-01-02-01-01-02-21.wav,kids are talking by the door
03-01-02-01-01-02-22.wav,kids are talking by the door
03-01-02-01-01-02-23.wav,kids are talking by the door
03-01-02-01-01-02-24.wav,kids are talking by the door
03-01-02-01-02-01-01.wav,dogs are sitting by the door
03-01-02-01-02-01-02.wav,dogs are sitting by the door
03-01-02-01-02-01-03.wav,dogs are sitting by the door
03-01-02-01-02-01-04.wav,dogs are sitting by the door
03-01-02-01-02-01-05.wav,dogs are sitting by the door
03-01-02-01-02-01-20.wav,dogs are sitting by the door
03-01-02-01-02-01-21.wav,dogs are sitting by the door
03-01-02-01-02-01-22.wav,dogs are sitting by the door
03-01-02-01-02-01-23.wav,dogs are sitting by the door
03-01-02-01-02-01-24.wav,dogs are sitting by the door
03-01-02-01-02-02-01.wav,dogs are sitting by the door
03-01-02-01-02-02-02.wav,dogs are sitting by the door
